
2024/11/06 (15:02:23) | ===> btop++ v.1.4.0
2024/11/06 (15:02:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (15:06:12) | ===> btop++ v.1.4.0
2024/11/06 (15:06:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (15:10:23) | ===> btop++ v.1.4.0
2024/11/06 (15:10:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:12:17) | ===> btop++ v.1.4.0
2024/11/06 (19:12:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (19:19:27) | ===> btop++ v.1.4.0
2024/11/06 (19:19:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (00:55:05) | ===> btop++ v.1.4.0
2024/11/07 (00:55:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (07:41:59) | ===> btop++ v.1.4.0
2024/11/08 (07:41:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (07:59:16) | ===> btop++ v.1.4.0
2024/11/08 (07:59:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (08:01:34) | ===> btop++ v.1.4.0
2024/11/10 (08:01:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (13:51:29) | ===> btop++ v.1.4.0
2024/11/10 (13:51:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (13:51:55) | ===> btop++ v.1.4.0
2024/11/10 (13:51:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:49:51) | ===> btop++ v.1.4.0
2024/11/11 (15:49:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (23:17:12) | ===> btop++ v.1.4.0
2024/11/13 (23:17:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (23:17:43) | ===> btop++ v.1.4.0
2024/11/13 (23:17:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (17:48:13) | ===> btop++ v.1.4.0
2024/11/15 (17:48:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (17:50:03) | ===> btop++ v.1.4.0
2024/11/15 (17:50:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (17:50:12) | ===> btop++ v.1.4.0
2024/11/15 (17:50:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (19:49:35) | ===> btop++ v.1.4.0
2024/11/18 (19:49:35) | WARNING: Intel GPU: Failed to initialize PMU
